	zh_tw	zh	en
i18n_ServCloud_App_List	App 清單	App 清单	App list

# 更改密碼
i18n_ServCloud_Change_Pwd	更改密碼	更改密码	Change password
i18n_ServCloud_Old_Pwd	舊密碼	旧密码	Old password
i18n_ServCloud_New_Pwd	新密碼	新密码	New password
i18n_ServCloud_Confirm_Pwd	確認密碼	确认密码	Confirm password
i18n_ServCloud_Pwd_Error	密碼有誤	密码有误	Password incorrect
i18n_ServCloud_Pwd_Different	密碼不同	密码不同	Password different
i18n_ServCloud_Submit	送出	送出	Submit
i18n_ServCloud_Close	關閉	关闭	Close

# 合約標籤
i18n_ServCloud_License	合約	合约	license
i18n_ServCloud_License_Expired	合約過期 	合约过期 	License expired 
i18n_ServCloud_License_Rest	距離合約到期僅剩 	距离合约到期仅剩 	License have 
i18n_ServCloud_License_Have	距離合約到期尚有 	距离合约到期尚有 	License have 
i18n_ServCloud_Day	 天！ 	 天！ 	 days left!
i18n_ServCloud_Day_Over	 天！ 	 天！ 	 days!

#佈景主題
i18n_ServCloud_Theme	佈景主題	布景主题	Theme
i18n_ServCloud_Style2	淺色	浅色	Light
i18n_ServCloud_Style5	深色	深色	Dark

# 登入時間
i18n_ServCloud_Login_Tip	登入時間: 	登入时间: 	Login time: 

# curdtable
i18n_ServCloud_Data_Set	資料集	资料集	Dataset
i18n_ServCloud_Delete_title	刪除資料	删除资料	Delete data
i18n_ServCloud_Sure_Delete_Data	 確定刪除所選取的項目？	 确定删除所选取的项目？	 Are you sure to delete the selected items?
i18n_ServCloud_Yes_Delete	是	是	Yes
i18n_ServCloud_No_Delete	否	否	No
i18n_ServCloud_StdCrud_Foreign_Key	目前有其他資料引用，無法刪除，請先刪除引用的資料	目前有其他资料引用，无法删除，请先删除引用的资料	There are currently other references and cannot be deleted. Please delete the referenced information first.

# reporttable
i18n_ServCloud_No_Data	無資料	无资料	No Data
i18n_ServCloud_Filter	過濾	过滤	Filter
i18n_ServCloud_Excel	匯出	汇出	Export

# KPI四表
i18n_ServCloud_Work_Efficiency	作業效率	作业效率	Work Efficiency
i18n_ServCloud_Utilization_Efficiency	稼動(有效率)	稼动(有效率)	Utilization (efficiency)
i18n_ServCloud_Yield_Rate	良率	良率	Yield Rate
i18n_ServCloud_Yield_Target	良率目標	良率目标	Yield Target
i18n_ServCloud_Production_Efficiency_Target	生產效率目標	生产效率目标	Production Efficiency Target
i18n_ServCloud_Labor_Downtime	無效人時	无效人时	Labor Downtime
i18n_ServCloud_Changeover_Time	換線時間	换线时间	Changeover Time
i18n_ServCloud_date	日期	日期	Date
i18n_ServCloud_total	總計	总计	Total


# production headers
i18n_ServCloud_Total_Standarf_Working_Hours	總標工	总标工	Total Standard Working Hours
i18n_ServCloud_Invested_Man_Hour	投入人時	投入人时	Invested Man Hour
i18n_ServCloud_Total_Downtime	總無效	总无效	Total Downtime
i18n_ServCloud_Total_Attendance	總出勤	总出勤	Total Attendance
i18n_ServCloud_Quarter	季	季	Quarter
i18n_ServCloud_Month	月	月	Month
i18n_ServCloud_Week	週	周	Week
i18n_ServCloud_Date	日	日	Date

#invalid headers
i18n_ServCloud_Downtime_Code	無效代碼	无效代码	Downtime Code
i18n_ServCloud_Downtime_Description	無效說明	无效说明	Downtime Description
i18n_ServCloud_Downtime	無效工時	无效工时	Downtime
i18n_ServCloud_Downtime_Percentage	無效比例	无效比例	DownTime Percentage
i18n_ServCloud_Cumulative_Proportion	累計比例	累计比例	Cumulative Proportion
i18n_ServCloud_Changeover_Preparation	換線準備	换线准备	Changeover Preparation
i18n_ServCloud_Environment_Arrangement	整理環境	整理环境	Environment Arrangement
i18n_ServCloud_Production_Preparation	生產準備	生产准备	Production Preparation
i18n_ServCloud_Material_Quality_Error	材料品質異常	材料品质异常	Material Quality Error
i18n_ServCloud_Material_Shortage	材料缺料	材料缺料	Material Shortage
i18n_ServCloud_Education_Training	教育訓練	教育训练	Education Training

i18n_ServCloud_Defectives	不良數量	不良数量	Defectives
i18n_ServCloud_Defectives_Percentage	不良比例	不良比例	Defective Percentage
i18n_ServCloud_Defectives_Description	不良說明	不良说明	Defective Description
i18n_ServCloud_Total_Defectives	不良品總數	不良品总数	Total Defectives

#validateForm
i18n_ServCloud_Required	此欄必填	此栏必填	This field is required.
i18n_ServCloud_Format_Error	格式錯誤	格式错误	Format error.
i18n_ServCloud_Require_From_Group	請擇一填寫	请择一填写	Please fill at least one of these fields.
i18n_ServCloud_Length_Should_Not_Exceed	長度不能超過	长度不能超过	Length should not exceed
i18n_ServCloud_Not_Less_Than_The_Length_Of	長度不能低於	长度不能低于	Not less than the length of
i18n_ServCloud_Please_Enter_A_Positive_Integer	請輸入正整數	请输入正整数	Please enter a positive integer
i18n_ServCloud_A_Maximum_Of	最大值為	最大值为	A maximum of
i18n_ServCloud_The_Minimum_Value_Is	最小值為	最小值为	The minimum value is
i18n_ServCloud_Please_Enter_The_Number	請輸入數字	请输入数字	Please enter the number
i18n_ServCloud_Please_Enter_A_Decimal_Or_Integer_Greater_Than_Zero	請輸入大於零的小數或整數	请输入大于零的小数或整数	Please enter a decimal or integer greater than zero
i18n_ServCloud_Please_Enter_A_Decimal	請輸入小數	请输入小数	Please enter a decimal

#validateCode
i18n_ServCloud_Out_Of_Len	長度超出欄位限制: {size}字元	长度超出栏位限制: {size}字元	Length exceeds field limit: {size} characters.
i18n_ServCloud_Not_Number	不可含有非數字	不可含有非数字	Cannot contain non-numeric.
i18n_ServCloud_Symbol_String	不可包含特殊字元: '",<>	不可包含特殊字元: '",<>	Cannot contain special characters: '",<>.
i18n_ServCloud_Number_Unsign	非正整數	非正整数	Non-positive integer.
i18n_ServCloud_Unsigned	非正數	非正数	Non-positive number.
i18n_ServCloud_Not_Float	非浮點數	非浮点数	Not a float.
i18n_ServCloud_Decimal_Format_Error	小數點後不可超過{S}位，總位數不可超過{P}位	小数点后不可超过{S}位，总位数不可超过{P}位	There cannot be more than {S} digits after the decimal point, and the total number of digits cannot exceed {P}.

#appTag
i18n_ServCloud_Maintenance	保養	保养	Maintenance
i18n_ServCloud_Production	生產	生产	Production
i18n_ServCloud_Tool	工具	工具	Tool
i18n_ServCloud_Prediction	預測	预测	Prediction
i18n_ServCloud_Energy	能源	能源	Energy
i18n_ServCloud_Other	其他	其他	Other
