	zh_tw	zh	en
i18n_ServCloud_Storage_Structure_Manage	儲位結構管理	储位结构管理	Storage Structure management
i18n_ServCloud_Storage_Structure	儲位結構	储位结构	Storage Structure
i18n_ServCloud_Storage_Manage	儲位管理	储位管理	Storage management
i18n_ServCloud_Store_Manage	庫管理	库管理	Store management
i18n_ServCloud_Confirm	確認	确认	Confirm
i18n_ServCloud_Save	存檔	存档	Save
i18n_ServCloud_Save_Success	存檔成功!	存档成功!	Save Success!
i18n_ServCloud_Save_Failed	存檔失敗!	存档失败!	Save Failed!
i18n_ServCloud_Delete_Info	刪除後將無法復原，確定要刪除此節點 ?	删除后将无法复原，确定要删除此节点 ?	Are you sure to delete the selected node?
i18n_ServCloud_ID	ID(代號)	ID(代号)	ID
i18n_ServCloud_Name	名稱	名称	Name
i18n_ServCloud_Add_Quantity	增加數量	增加数量	Add Quantity
i18n_ServCloud_Exist_ID	重複編號	重复编号	Exist ID
i18n_ServCloud_Exit_Info	離開前是否要存檔？	离开前是否要存档？	Do you want to archive before you leave?
i18n_ServCloud_Reset	重置	重置	Reset
i18n_ServCloud_Show	檢視	检视	Show
i18n_ServCloud_All_Fold	底下全部摺疊	底下全部折叠	All Fold
i18n_ServCloud_All_Unfold	底下全部展開	底下全部展开	All Unfold
i18n_ServCloud_Only_English_Or_Number	僅能輸入英數字	仅能输入英数字	Only English or Number
i18n_ServCloud_Only_Number	僅能輸入數字	仅能输入数字	Only Number
i18n_ServCloud_Max_Length_3	最大可輸入3位數	最大可输入3位数	Max length is 3
i18n_ServCloud_Store	庫	库	Store
i18n_ServCloud_Store_ID	庫編號	库编号	Store ID
i18n_ServCloud_Store_Name	庫名稱	库名称	Store name
i18n_ServCloud_Store_Desc	庫描述	库描述	Store description
i18n_ServCloud_Shelf_Manage	儲架管理	储架管理	Shelf management
i18n_ServCloud_Shelf_ID	儲架編號	储架编号	Shelf ID
i18n_ServCloud_Shelf_Name	儲架名稱	储架名称	Shelf name
i18n_ServCloud_Shelf_Desc	儲架描述	储架描述	Shelf description
i18n_ServCloud_Shelf_Type	儲架類型	储架类型	Shelf type
i18n_ServCloud_Shelf_Grid_Count	儲架的層數	储架的层数	Shelf grid Count
i18n_ServCloud_Shelf_Rule	儲架規則	储架规则	Shelf rule
i18n_ServCloud_Shelf_Type_Manage	儲架類型管理	储架类型管理	Shelf type management
i18n_ServCloud_Shelf_Type_ID	儲架類型編號	储架类型编号	Shelf type ID
i18n_ServCloud_Shelf_Type_Name	儲架類型名稱	储架类型名称	Shelf type name
i18n_ServCloud_Shelf_Type_Desc	儲架類型描述	储架类型描述	Shelf type description
i18n_ServCloud_Shelf_Type_Cell	儲架類型的儲位數	储架类型的储位数	Shelf type cell
i18n_ServCloud_Thing_Manage	物料管理	物料管理	Thing management
i18n_ServCloud_Thing_ID	物料編號	物料编号	Thing ID
i18n_ServCloud_Thing_Org_ID	物料公司內編號	物料公司内编号	Thing orginal ID
i18n_ServCloud_Thing_Name	物料名稱	物料名称	Thing name
